year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,NEVADA,NV,32,88,65,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,37384,1125385
2016,NEVADA,NV,32,88,65,US PRESIDENT,NONE OF THE ABOVE,,False,28863,1125385
2016,NEVADA,NV,32,88,65,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN,False,5268,1125385
2016,NEVADA,NV,32,88,65,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",NO PARTY AFFILIATION,False,2552,1125385
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,348526,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,345790,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,30777,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,,,True,9618,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"STEIN, JILL",GREEN,False,6496,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,SCATTERING,,True,2411,744296
2016,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,678,744296
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,2148278,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1601933,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,72477,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"STEIN, JILL",GREEN,False,37772,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,6161,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS,False,2156,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,1838,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"MOOREHEAD, MONICA",WORKERS WORLD PARTY,False,1749,3874046
2016,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,False,1682,3874046
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,385234,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,319667,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,74541,798319
